Record,Country,Country Secondary Subdivision,Country Subdivision,Subdivision Name,Postal Code,Address,Local Name,Municipality,Municipality Subdivision,entryPoints_0_functions_0,Latitude,Longtitude,poi_brands_1_name,POI Name,URL,Source,Store Name_x,Number,Master Store Name,Owner,Correct Name
43850,United States,Fairfield,CT,Connecticut,06902-3717,"20 Adams Avenue, Stamford, CT 06902",Stamford,Stamford,Ridgeway-Bulls Head,,41.05648,-73.54757,,Adams Grocery Store,,Azure Maps,,,,,Adams Grocery Store
153850,United States,Fairfield,CT,Connecticut,06902-2233,"26 Anderson Street, Stamford, CT 06902",Stamford,Stamford,Ridgeway-Bulls Head,,41.05679,-73.54954,,L Mercado,,Azure Maps,,,,,L Mercado
433850,United States,Fairfield,CT,Connecticut,06902-3207,"236 Seaton Road, Stamford, CT 06902",Stamford,Stamford,East Side,,41.05957,-73.51689,,Amir Market,,Azure Maps,,2.0,ACME Markets,,ACME Markets
23850,United States,Fairfield,CT,Connecticut,06901-1201,"135 Prospect Street, Stamford, CT 06901",Stamford,Stamford,Downtown Stamford,,41.05993,-73.53412,,for Your Convenience,,Azure Maps,,,,,for Your Convenience
543850,United States,Fairfield,CT,Connecticut,06902-3555,"1290 East Main Street, Stamford, CT 06902",Stamford,Stamford,East Side,,41.0607,-73.50811,,Norseland Foods,,Azure Maps,,,,,Norseland Foods
73850,United States,Fairfield,CT,Connecticut,,"1200 Summer Street, Stamford, CT 06901",Stamford,Stamford,Ridgeway-Bulls Head,,41.06129,-73.54134,,Arctic Foods,,Azure Maps,,,,,Arctic Foods
103850,United States,Fairfield,CT,Connecticut,,"1234 Summer Street, Stamford, CT 06901",Stamford,Stamford,Ridgeway-Bulls Head,,41.06149,-73.54148,,Van Luin Foods USA,www.gulfood.com,Azure Maps,,,,,Van Luin Foods USA
6711533,United States,Fairfield,CT,Connecticut,06853-1411,"137 Rowayton Avenue, Norwalk, CT 06853",Norwalk,Norwalk,,,41.06746,-73.44368,,Rafferty Capital Market,www.raffertycapitalmarkets.com,Azure Maps,,,,,Rafferty Capital Market
663850,United States,Fairfield,CT,Connecticut,06807-1602,"455 Valley Road, Cos Cob, CT 06807",Cos Cob,Greenwich,Cos Cob,,41.06783,-73.57999,,Aquarion Water,,Azure Maps,,,,,Aquarion Water
373850,United States,Fairfield,CT,Connecticut,06905-3988,"2200 Bedford Street, Stamford, CT 06905",Stamford,Stamford,Ridgeway-Bulls Head,,41.06854,-73.54463,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,,,,,Kinnikinnick Foods
383850,United States,Fairfield,CT,Connecticut,06905-3988,"2200 Bedford Street, Stamford, CT 06905",Stamford,Stamford,Ridgeway-Bulls Head,,41.06854,-73.54463,,Super Stop & Shop,stores.stopandshop.com/ct/stamford/2200-bedford-street,Azure Maps,,47.0,Stop & Shop,Ahold Delhaize,Stop & Shop
6210,United States,Fairfield,CT,Connecticut,06820-4121,"148 Heights Road, Darien, CT 06820",Darien,Darien,,,41.06909,-73.49385,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,,,,,Kinnikinnick Foods
533850,United States,Fairfield,CT,Connecticut,06906-1825,"501 Glenbrook Road, Stamford, CT 06906",Stamford,Stamford,Glenbrook-Belltown,,41.07058,-73.52043,,Duke Premier Market,,Azure Maps,,,,,Duke Premier Market
5510,United States,Fairfield,CT,Connecticut,06820-4423,"150 Ledge Road, Darien, CT 06820",Darien,Darien,,,41.07266,-73.47603,,Whole Foods Market,www.wholefoodsmarket.com/stores/darien,Azure Maps,,55.0,WHOLE FOODS,Amazon,WHOLE FOODS
5410,United States,Fairfield,CT,Connecticut,06906-1313,"495 Hope Street, Stamford, CT 06906",Stamford,Stamford,Glenbrook-Belltown,,41.07644,-73.52287,,Grade A Market Of Hope Street,https://shop.shoprite.com/store/4019645,Azure Maps,,,,,Grade A Market Of Hope Street
5310,United States,Fairfield,CT,Connecticut,06906-1313,"495 Hope Street, Stamford, CT 06906",Stamford,Stamford,Glenbrook-Belltown,,41.07644,-73.52287,,Grand Union,grandunioncompany.com/home,Azure Maps,,26.0,Grand Union Co,,Grand Union Co
5110,United States,Fairfield,CT,Connecticut,06906-1400,"70 Research Drive, Stamford, CT 06906",Stamford,Stamford,Springdale,,41.07678,-73.51865,,Ionian Food Imp,,Azure Maps,,,,,Ionian Food Imp
5010,United States,Fairfield,CT,Connecticut,06906-1400,"70 Research Drive, Stamford, CT 06906",Stamford,Stamford,Springdale,,41.07678,-73.51865,,One Root Foods,,Azure Maps,,,,,One Root Foods
4710,United States,Fairfield,CT,Connecticut,,"25 Old Kings Hwy N, Darien, CT 06820",Darien,Darien,,,41.07838,-73.4663,,Gloval Pet Foods,,Azure Maps,,,,,Gloval Pet Foods
4810,United States,Fairfield,CT,Connecticut,,"25 Old Kings Hwy N, Darien, CT 06820",Darien,Darien,,,41.07838,-73.4663,,Stop & Shop,www.stopandshop.com,Azure Maps,,47.0,Stop & Shop,Ahold Delhaize,Stop & Shop
583850,United States,Fairfield,CT,Connecticut,06905-3000,"225 High Ridge Road, Stamford, CT 06905",Stamford,Stamford,Ridgeway-Bulls Head,,41.07876,-73.55002,,Nestle Waters North America,,Azure Maps,,,,,Nestle Waters North America
5311533,United States,Fairfield,CT,Connecticut,06854-4704,"11 Dock Road, Norwalk, CT 06854",Norwalk,Norwalk,,,41.08139,-73.41742,,Felicia Foods,,Azure Maps,,,,,Felicia Foods
4210,United States,Fairfield,CT,Connecticut,06820-4730,"70 Old Kings Highway North, Darien, CT 06820",Darien,Darien,,,41.08183,-73.46388,,Lewis Foods,,Azure Maps,,55.0,WHOLE FOODS,Amazon,WHOLE FOODS
5111533,United States,Fairfield,CT,Connecticut,06854-4729,"155 Woodward Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.08306,-73.41545,,Ola Foods,www.olafoods.com,Azure Maps,,55.0,WHOLE FOODS,Amazon,WHOLE FOODS
3610,United States,Fairfield,CT,Connecticut,06820-3605,"440 Post Road, Darien, CT 06820",Darien,Darien,,,41.08494,-73.46232,,Trader Joe's,locations.traderjoes.com/ct/darien/522/,Azure Maps,,52.0,Trader Joe's,ALDI,Trader Joe's
4811533,United States,Fairfield,CT,Connecticut,06854-4531,"129 Woodward Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.08651,-73.41432,,Ec Scott Group,www.ecscottgroup.com/,Azure Maps,,,,,Ec Scott Group
4911533,United States,Fairfield,CT,Connecticut,06855-2700,"99 Calf Pasture Beach Road, Norwalk, CT 06855",Norwalk,Norwalk,,,41.08716,-73.39361,,Bulls Head Market,,Azure Maps,,,,,Bulls Head Market
4311533,United States,Fairfield,CT,Connecticut,06854-4433,"160 South Main Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.08956,-73.41981,,Crespo Spanish-American,,Azure Maps,,,,,Crespo Spanish-American
4611533,United States,Fairfield,CT,Connecticut,06854-3502,"33 Bouton Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09105,-73.42713,,El Mercabito,,Azure Maps,,,,,El Mercabito
3411533,United States,Fairfield,CT,Connecticut,06854-3742,"42 Woodward Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09179,-73.41717,,Los Luceros Family Grocery,,Azure Maps,,,,,Los Luceros Family Grocery
3311533,United States,Fairfield,CT,Connecticut,06854-3742,"42 Woodward Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09179,-73.41717,,Superior Supermarket Groc & Vegtbls,,Azure Maps,,51.0,Superior Supermarket,,Superior Supermarket
3711533,United States,Fairfield,CT,Connecticut,06854-3608,"133 South Main Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09192,-73.41916,,Alexa Grocery,,Azure Maps,,,,,Alexa Grocery
3811533,United States,Fairfield,CT,Connecticut,06854-2965,"59 Ely Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09313,-73.42393,,Carniceria La Mexicana,,Azure Maps,,,,,Carniceria La Mexicana
3611533,United States,Fairfield,CT,Connecticut,06854-2939,"45 Ely Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09335,-73.42375,,Burden Brothers Grocery,,Azure Maps,,,,,Burden Brothers Grocery
2811533,United States,Fairfield,CT,Connecticut,06854-3110,"112 South Main Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09367,-73.41909,,El Samaritano Grocery & Deli,,Azure Maps,,,,,El Samaritano Grocery & Deli
1210,United States,Fairfield,CT,Connecticut,06907-1824,"1085 Hope Street, Stamford, CT 06907",Stamford,Stamford,Springdale,,41.09555,-73.5193,,Hope Street Mini Mart,,Azure Maps,,,,,Hope Street Mini Mart
2110,United States,Fairfield,CT,Connecticut,06854-1616,"680 Connecticut Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09563,-73.44965,,Walmart,www.walmart.com/store/3547/norwalk-ct/details,Azure Maps,,74.0,Walmart,Walmart,Walmart
1110,United States,Fairfield,CT,Connecticut,06907-1824,"1091 Hope Street, Stamford, CT 06907",Stamford,Stamford,Springdale,,41.09574,-73.51942,,Pine Hill Grocery Store,,Azure Maps,,,,,Pine Hill Grocery Store
2511533,United States,Fairfield,CT,Connecticut,06854-3124,"18 Monroe Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09662,-73.42,,La Placita Food Market,,Azure Maps,,,,,La Placita Food Market
2311533,United States,Fairfield,CT,Connecticut,06854-2925,"58 South Main Street, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09747,-73.41891,,South Main Grocery & Deli,,Azure Maps,,,,,South Main Grocery & Deli
2310,United States,Fairfield,CT,Connecticut,06854-1710,"493 Connecticut Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.09863,-73.44332,,Connecticut Ave Deli & Grocery,,Azure Maps,,,,,Connecticut Ave Deli & Grocery
