Record,Country,Country Secondary Subdivision,Country Subdivision,Subdivision Name,Postal Code,Address,Local Name,Municipality,Municipality Subdivision,entryPoints_0_functions_0,Latitude,Longtitude,poi_brands_1_name,POI Name,URL,Source,Store Name
253850,United States,Fairfield,CT,Connecticut,06902-6013,"200 Shippan Avenue, Stamford, CT 06902",Stamford,Stamford,Cove,,41.04814,-73.52428,,ShopRite,www.shoprite.com,Azure Maps,
303850,United States,Fairfield,CT,Connecticut,06902-4711,"417 West Main Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.04819,-73.55552,,West Main Convenience,,Azure Maps,
343850,United States,Fairfield,CT,Connecticut,06902-4714,"432 West Main Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.04822,-73.55592,,La Marqueta,,Azure Maps,
403850,United States,Fairfield,CT,Connecticut,06902-5515,"495 West Main Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.04843,-73.55836,,West Main Grocery,,Azure Maps,
523850,United States,Fairfield,CT,Connecticut,06902-4522,"1990 West Main Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.04858,-73.56514,,ShopRite,shop.shoprite.com/store/4c7d797,Azure Maps,
193850,United States,Fairfield,CT,Connecticut,06902-5019,"335 West Main Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.04868,-73.55148,,En-Bas-Marche-En-Bas,,Azure Maps,
213850,United States,Fairfield,CT,Connecticut,06902-5019,"335 West Main Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.04868,-73.55148,,Yenne Yenne,,Azure Maps,
443850,United States,Fairfield,CT,Connecticut,06902-4516,"1937 West Main Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.04874,-73.56129,,Ahold,www.aholdusa.com,Azure Maps,
453850,United States,Fairfield,CT,Connecticut,06902-4516,"1937 West Main Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.04874,-73.56129,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,
463850,United States,Fairfield,CT,Connecticut,06902-4516,"1937 West Main Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.04874,-73.56129,,Stop & Shop,stores.stopandshop.com/ct/stamford/1937-west-main-street,Azure Maps,
483850,United States,Fairfield,CT,Connecticut,06902-4560,"2000 West Main Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.04883,-73.56383,,Wakefern Food,,Azure Maps,
553850,United States,Fairfield,CT,Connecticut,06902-5425,"1125 Cove Road, Stamford, CT 06902",Stamford,Stamford,Cove,,41.04894,-73.50673,,Costa Foods,,Azure Maps,
353850,United States,Fairfield,CT,Connecticut,06902-4610,"12 Dryden Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.04912,-73.55658,,Minor Place,,Azure Maps,
293850,United States,Fairfield,CT,Connecticut,06902-5222,"148 Cove Road, Stamford, CT 06902",Stamford,Stamford,East Side,,41.04922,-73.52176,,Cove RD Groceries,,Azure Maps,
323850,United States,Fairfield,CT,Connecticut,06902-5218,"169 Cove Road, Stamford, CT 06902",Stamford,Stamford,Cove,,41.04929,-73.52141,,Le Deros,,Azure Maps,
313850,United States,Fairfield,CT,Connecticut,06902-5218,"169 Cove Road, Stamford, CT 06902",Stamford,Stamford,Cove,,41.04929,-73.52141,,Los Luceros Grocery,,Azure Maps,
503850,United States,Fairfield,CT,Connecticut,06902-4510,"30 Myano Lane, Stamford, CT 06902",Stamford,Stamford,West Side,,41.04985,-73.56428,,Northeast Food Marketing,,Azure Maps,
63850,United States,Fairfield,CT,Connecticut,06902-5027,"190 West Main Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.05019,-73.54781,,C O N Mini Market,,Azure Maps,
53850,United States,Fairfield,CT,Connecticut,06902-5027,"190 West Main Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.05019,-73.54781,,West Side Market,www.westsidemarket.com,Azure Maps,
93850,United States,Fairfield,CT,Connecticut,06902-4842,"87 Stillwater Avenue, Stamford, CT 06902",Stamford,Stamford,West Side,,41.05214,-73.54947,,Fabre Luis,,Azure Maps,
83850,United States,Fairfield,CT,Connecticut,06902-4842,"87 Stillwater Avenue, Stamford, CT 06902",Stamford,Stamford,West Side,,41.05214,-73.54947,,La Esquina Groce,,Azure Maps,
183850,United States,Fairfield,CT,Connecticut,06902-4843,"155 Stillwater Avenue, Stamford, CT 06902",Stamford,Stamford,West Side,,41.05216,-73.55263,,Stillwater Market,,Azure Maps,
203850,United States,Fairfield,CT,Connecticut,06902-4821,"181 Stillwater Avenue, Stamford, CT 06902",Stamford,Stamford,West Side,,41.05221,-73.5529,,Stamford Market,www.fairwaymarket.com/store/stamford-ct/,Azure Maps,
223850,United States,Fairfield,CT,Connecticut,06902-4821,"181 Stillwater Avenue, Stamford, CT 06902",Stamford,Stamford,West Side,,41.05221,-73.5529,,Stamford Supermarket,www.stamfordsubaru.com,Azure Maps,
13850,United States,Fairfield,CT,Connecticut,06901-2201,"924 Washington Boulevard, Stamford, CT 06901",Stamford,Stamford,Downtown Stamford,,41.05231,-73.54231,,Saibaba,,Azure Maps,
3850,United States,Fairfield,CT,Connecticut,06901-3504,"209 Atlantic Street, Stamford, CT 06901",Stamford,Stamford,Downtown Stamford,,41.05236,-73.53944,,247 Atlantic Market,,Azure Maps,
33850,United States,Fairfield,CT,Connecticut,06902-4831,"57 Smith Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.0526,-73.5484,,Mi Tierra Mini Market,,Azure Maps,
273850,United States,Fairfield,CT,Connecticut,06902-4220,"100 Lockwood Avenue, Stamford, CT 06902",Stamford,Stamford,East Side,,41.05267,-73.52154,,Lucerito Family Grocery,,Azure Maps,
263850,United States,Fairfield,CT,Connecticut,06902-4824,"232 Stillwater Avenue, Stamford, CT 06902",Stamford,Stamford,West Side,,41.05284,-73.55552,,Two Brothers Supermarket,,Azure Maps,
173850,United States,Fairfield,CT,Connecticut,06902-4829,"29 Hospital Plaza, Stamford, CT 06902",Stamford,Stamford,West Side,,41.05321,-73.55185,,Latino Grocery,,Azure Maps,
423850,United States,Fairfield,CT,Connecticut,,"76 Progress Dr, Stamford, CT 06902",Stamford,Stamford,West Side,,41.05384,-73.56064,,Feinfocus Foods USA,,Azure Maps,
143850,United States,Fairfield,CT,Connecticut,06902-3903,"818 East Main Street, Stamford, CT 06902",Stamford,Stamford,East Side,,41.0553,-73.52717,,East Main Market,,Azure Maps,
113850,United States,Fairfield,CT,Connecticut,06902-3700,"116 West Broad Street, Stamford, CT 06902",Stamford,Stamford,West Side,,41.05588,-73.5498,,Star Grocery,,Azure Maps,
243850,United States,Fairfield,CT,Connecticut,06902-4054,"912 East Main Street, Stamford, CT 06902",Stamford,Stamford,East Side,,41.05597,-73.52307,,A & J Mini Mart,,Azure Maps,
513850,United States,Fairfield,CT,Connecticut,06902-2127,"77 Havemeyer Lane, Stamford, CT 06902",Stamford,Stamford,West Side,,41.05597,-73.56581,,Palmer Hill Partners,www.palmerhillhomes.com,Azure Maps,
333850,United States,Fairfield,CT,Connecticut,,"958 East Main Street, Stamford, CT 06902",Stamford,Stamford,East Side,,41.05619,-73.52085,,Las Americas Market,,Azure Maps,
43850,United States,Fairfield,CT,Connecticut,06902-3717,"20 Adams Avenue, Stamford, CT 06902",Stamford,Stamford,Ridgeway-Bulls Head,,41.05648,-73.54757,,Adams Grocery Store,,Azure Maps,
153850,United States,Fairfield,CT,Connecticut,06902-2233,"26 Anderson Street, Stamford, CT 06902",Stamford,Stamford,Ridgeway-Bulls Head,,41.05679,-73.54954,,L Mercado,,Azure Maps,
433850,United States,Fairfield,CT,Connecticut,06902-3207,"236 Seaton Road, Stamford, CT 06902",Stamford,Stamford,East Side,,41.05957,-73.51689,,Amir Market,,Azure Maps,
23850,United States,Fairfield,CT,Connecticut,06901-1201,"135 Prospect Street, Stamford, CT 06901",Stamford,Stamford,Downtown Stamford,,41.05993,-73.53412,,for Your Convenience,,Azure Maps,
543850,United States,Fairfield,CT,Connecticut,06902-3555,"1290 East Main Street, Stamford, CT 06902",Stamford,Stamford,East Side,,41.0607,-73.50811,,Norseland Foods,,Azure Maps,
73850,United States,Fairfield,CT,Connecticut,,"1200 Summer Street, Stamford, CT 06901",Stamford,Stamford,Ridgeway-Bulls Head,,41.06129,-73.54134,,Arctic Foods,,Azure Maps,
103850,United States,Fairfield,CT,Connecticut,,"1234 Summer Street, Stamford, CT 06901",Stamford,Stamford,Ridgeway-Bulls Head,,41.06149,-73.54148,,Van Luin Foods USA,www.gulfood.com,Azure Maps,
6711533,United States,Fairfield,CT,Connecticut,06853-1411,"137 Rowayton Avenue, Norwalk, CT 06853",Norwalk,Norwalk,,,41.06746,-73.44368,,Rafferty Capital Market,www.raffertycapitalmarkets.com,Azure Maps,
663850,United States,Fairfield,CT,Connecticut,06807-1602,"455 Valley Road, Cos Cob, CT 06807",Cos Cob,Greenwich,Cos Cob,,41.06783,-73.57999,,Aquarion Water,,Azure Maps,
373850,United States,Fairfield,CT,Connecticut,06905-3988,"2200 Bedford Street, Stamford, CT 06905",Stamford,Stamford,Ridgeway-Bulls Head,,41.06854,-73.54463,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,
383850,United States,Fairfield,CT,Connecticut,06905-3988,"2200 Bedford Street, Stamford, CT 06905",Stamford,Stamford,Ridgeway-Bulls Head,,41.06854,-73.54463,,Super Stop & Shop,stores.stopandshop.com/ct/stamford/2200-bedford-street,Azure Maps,
6210,United States,Fairfield,CT,Connecticut,06820-4121,"148 Heights Road, Darien, CT 06820",Darien,Darien,,,41.06909,-73.49385,,Kinnikinnick Foods,consumer.kinnikinnick.com/,Azure Maps,
